Arabic,English
مِن (min),from
ٱللَّه (Allah),Allah
فِي (fi),in
إِنّ (ʔinn),if
عَلَىٰ (ʕalayhi),upon
ٱلَّذِي (allaḏī),who/which
لَا (lā),no/not
مَا (mā),what
رَبّ (rabb),Lord
إِلَىٰ (ʔilā),to
مَن (man),who
أَن (ʔan),that
إِلَّا (ʔillā),except
ذَٰلِك (ḏālik),that
عَن (ʕan),about
أَرْض (ʔarḍ),land/earth
قَد (qad),indeed
إِذَا (ʔiḏā),when
قَوْم (qawm),people/nation
ءَايَة (ʔāya),sign/miracle
أَنّ (ʔann),that
كُلّ (kull),every
لَم (lam),did not
ثُمّ (ṯumma),then
رَسُول (rasūl),messenger
يَوْم (yawm),day
عَذَاب (ʕaḏāb),punishment
هَٰذَا (hāḏā),this
سَمَاء (samāʾ),sky/heaven
نَفْس (nafs),soul
شَيْء (šayʾ),thing
أَو (ʔaw),or
كِتَٰب (kitāb),book
بَيْن (bayna),between
حَقّ (ḥaqq),truth/right
نَاس (nās),people
إِذ (ʔiḏ),when
أُولَٰئِكَ (ʔulāʾika),those
قَبْل (qabla),before
مُؤْمِن (muʾmin),believer
لَو (law),if
سَبِيل (sabīl),way/path
أَمْر (ʾamr),matter
عِندَ (ʿinda),with
مَعَ (maʿa),with
بَعْض (baʿḍ),some
لَمَّا (lammā),when
أَيُّهَا (ʾayyuha),Oh
خَيْر (ḫayr),good
إِلَٰه (ʾilāh),God
نَار (nār),fire
غَيْر (ġayr),other/than
أَمْ (ʾam),or
دُونَ (dūna),besides
آخِر (ʾāḫir),another
بَعْد (baʿda),after
قَلْب (qalb),heart
عَبْد (ʿabd),servant
أَهْل (ʾahl),people/family
لَعَلَّ (laʿalla),perhaps
بَلْ (bal),rather
يَدًا (yadan),hand
كَافِرُونَ (kāfirūna),disbelievers
رَحْمَةً (raḥmatan),mercy
رَحِيمًا (raḥīman),Merciful
أَجْرًا (ʾajran),reward
ظَالِمٌ (ẓālimun),wrongdoer
عِلْمٌ (ʿilmun),knowledge
عَظِيمٌ (ʿaẓīmun),great
لَن (lan),never/will not
جَنَّةٌ (jannatun),paradise
حَتَّىٰ (ḥattā),until
هَلْ (hal),did
دِينًا (dīnan),religion
قَوْلًا (qawlan),word
مَلَكٌ (malakun),angel
مَثَلٌ (mathalun),example
مَالٌ (mālun),wealth
وَلِيٌّ (walīyun),ally
هُدًى (hudan),guidance
حَكِيمٌ (ḥakīmun),Wise
فَضْلٌ (faḍlun),favor
صَلَوٰةٌ (ṣalawatun),prayer
لَيْلًا (laylan),night
بُنْيَانًا (bunyānan),structure